carat,cut,color,clarity,price,size
0.7,Very Good,E,VS2,2793,114.97
0.7,Good,E,VS2,2793,114.42
0.76,Ideal,I,VS2,2793,125.24
0.73,Ideal,H,VS2,2793,118.61
0.79,Very Good,E,SI1,2794,128.83
0.71,Very Good,E,VS2,2795,119.36
0.81,Premium,I,VVS2,2795,126.06
0.81,Ideal,F,SI2,2795,131.25
0.72,Good,F,VS1,2795,114.26
0.72,Premium,D,SI2,2795,115.42
0.72,Premium,I,IF,2795,117.37
0.81,Premium,H,VS2,2795,135.02
0.72,Premium,G,VS2,2795,115.9
1.0,Premium,I,SI2,2795,165.82
0.73,Good,E,SI1,2796,118.85
0.81,Very Good,H,SI2,2797,130.66
0.81,Very Good,E,SI1,2797,135.89
0.71,Premium,D,SI1,2797,115.58
0.71,Premium,D,SI1,2797,115.98
0.71,Premium,D,SI1,2797,114.97
0.57,Ideal,F,VVS2,2797,94.56
0.51,Ideal,D,VVS1,2797,83.75
0.72,Ideal,G,VS2,2797,116.76
0.74,Ideal,H,VS1,2797,120.01
0.74,Ideal,H,VS1,2797,121.05
0.7,Fair,G,VVS1,2797,117.92
0.8,Premium,F,SI2,2797,133.0
1.01,Fair,E,SI2,2797,154.67
0.8,Very Good,H,VS2,2797,128.17
0.77,Ideal,I,VS1,2798,125.58
0.83,Very Good,E,SI2,2799,139.66
0.82,Ideal,F,SI2,2799,134.41
0.78,Ideal,D,SI1,2799,126.06
0.6,Very Good,G,IF,2800,99.32
0.9,Good,I,SI2,2800,140.56
0.7,Premium,E,VS1,2800,110.94
0.9,Very Good,I,SI2,2800,146.07
0.83,Ideal,G,SI1,2800,136.94
0.83,Ideal,G,SI1,2800,136.89
0.83,Very Good,H,SI1,2800,133.96
0.74,Premium,G,VS1,2800,117.05
0.79,Ideal,I,VS1,2800,129.27
0.61,Ideal,G,IF,2800,100.32
0.76,Fair,G,VS1,2800,118.2
0.96,Ideal,F,I1,2801,158.43
0.73,Ideal,F,VS2,2801,120.6
0.73,Premium,F,VS2,2801,117.87
0.75,Ideal,H,SI1,2801,126.88
0.71,Premium,F,VS2,2801,114.09
0.71,Good,F,VS2,2801,117.75
0.71,Good,F,VS2,2801,113.59
0.71,Premium,F,VS2,2801,114.25
1.04,Premium,G,I1,2801,165.63
1.0,Premium,J,SI2,2801,162.75
0.87,Very Good,G,SI2,2802,143.46
0.53,Ideal,F,IF,2802,88.79
0.72,Premium,E,VS2,2802,116.61
0.72,Premium,F,VS1,2802,119.63
0.7,Very Good,F,VS2,2803,112.92
0.74,Very Good,E,SI1,2803,121.64
0.71,Ideal,G,VS2,2803,115.24
0.73,Ideal,E,SI1,2803,122.11
0.7,Good,G,VS1,2803,112.82
0.71,Premium,F,VS2,2803,115.06
0.71,Premium,F,VS2,2803,114.88
0.71,Premium,G,VS1,2803,114.01
0.77,Premium,G,VS2,2803,126.22
0.71,Premium,G,VS2,2803,116.33
0.78,Premium,G,VS2,2803,130.6
0.71,Very Good,G,VS1,2803,114.6
0.91,Ideal,D,SI2,2803,147.04
0.71,Very Good,E,VS2,2804,114.51
0.71,Very Good,E,VS2,2804,116.7
0.8,Very Good,E,SI2,2804,129.67
0.7,Very Good,D,SI1,2804,116.07
0.72,Ideal,F,VS1,2804,117.58
0.72,Very Good,F,VS1,2804,116.68
0.82,Ideal,H,VS2,2804,135.93
0.7,Ideal,D,SI1,2804,112.34
0.72,Ideal,D,SI1,2804,118.57
0.72,Ideal,D,SI1,2804,119.14
0.9,Fair,I,SI1,2804,137.14
0.74,Premium,F,VS2,2805,121.39
0.74,Premium,F,VS2,2805,119.81
0.73,Ideal,E,SI2,2805,120.01
0.57,Fair,E,VVS1,2805,91.63
0.73,Premium,F,VS2,2805,117.33
0.72,Ideal,G,VS2,2805,117.46
0.74,Fair,F,VS2,2805,118.13
0.82,Good,G,VS2,2805,131.8
0.81,Very Good,G,SI1,2806,129.1
0.75,Very Good,H,VVS1,2806,122.87
0.7,Ideal,F,SI1,2806,115.9
0.71,Very Good,F,VS1,2807,114.61
0.71,Very Good,F,VS1,2807,121.29
0.93,Premium,J,SI2,2807,147.61
0.8,Very Good,H,VS2,2808,128.36
0.7,Very Good,F,VS1,2808,113.36
1.0,Fair,G,I1,2808,152.68
0.75,Very Good,G,VS2,2808,121.1
0.58,Ideal,E,VVS2,2808,96.94
0.73,Very Good,D,SI1,2808,118.11
0.81,Very Good,F,SI1,2809,124.31
0.81,Premium,D,SI2,2809,134.32
0.71,Premium,F,SI1,2809,119.57
1.2,Fair,F,I1,2809,194.08
0.7,Very Good,F,VS1,2810,112.32
0.7,Very Good,F,VS1,2810,117.26
0.74,Ideal,D,SI2,2810,122.36
0.7,Good,F,VS1,2810,109.68
0.8,Good,G,SI1,2810,127.79
0.75,Very Good,F,SI1,2811,119.93
0.83,Very Good,D,SI1,2811,134.85
1.0,Fair,J,VS2,2811,149.45
0.99,Fair,I,SI2,2811,157.3
0.7,Very Good,G,VS1,2812,110.89
0.7,Very Good,F,VS2,2812,116.05
0.7,Good,E,SI1,2812,106.26
0.7,Very Good,F,VS2,2812,111.8
0.32,Premium,I,SI1,554,51.78
0.32,Premium,I,SI1,554,52.2
0.32,Ideal,I,SI1,554,51.71
0.32,Premium,I,SI1,554,51.1
0.32,Very Good,I,SI1,554,52.83
0.32,Ideal,I,SI1,554,53.34
0.3,Premium,H,SI1,554,48.44
0.3,Premium,H,SI1,554,50.99
0.3,Premium,H,SI1,554,48.63
0.3,Very Good,H,SI1,554,49.64
0.3,Good,H,SI1,554,48.31
0.3,Ideal,H,SI1,554,48.11
0.3,Very Good,H,SI1,554,48.36
0.32,Good,I,SI1,554,52.6
0.33,Ideal,H,SI2,554,68.53
0.29,Very Good,E,VS1,555,49.3
0.29,Very Good,E,VS1,555,46.95
0.31,Very Good,F,SI1,555,50.36
0.34,Ideal,H,VS2,555,55.52
0.34,Ideal,H,VS2,555,57.06
0.34,Ideal,I,VS1,555,56.29
0.34,Ideal,I,VS1,555,57.08
0.3,Ideal,G,VS1,555,49.55
0.29,Ideal,F,VS1,555,48.47
0.35,Ideal,G,SI1,555,57.85
0.43,Very Good,E,I1,555,71.63
0.32,Very Good,F,VS2,556,52.15
0.36,Ideal,I,VS2,556,58.51
0.3,Ideal,G,VS2,556,48.95
0.26,Ideal,E,VS1,556,42.46
0.7,Very Good,F,VS2,2812,114.2
0.7,Very Good,F,VS2,2812,111.82
0.71,Ideal,D,SI1,2812,115.87
0.99,Fair,J,SI1,2812,164.95
0.73,Premium,E,VS2,2812,120.65
0.51,Ideal,F,VVS1,2812,83.69
0.91,Premium,G,SI2,2813,149.39
0.84,Very Good,E,SI1,2813,135.3
0.91,Good,I,VS2,2813,143.69
0.76,Premium,E,SI1,2814,123.59
0.76,Ideal,E,SI1,2814,124.52
0.75,Premium,E,SI1,2814,121.96
0.55,Very Good,D,VVS1,2815,89.03
0.76,Very Good,F,SI2,2815,124.38
0.74,Premium,G,VS1,2815,120.43
0.7,Ideal,H,SI1,2815,116.59
0.7,Ideal,H,SI1,2815,115.57
0.7,Ideal,H,SI1,2815,117.45
0.7,Ideal,H,SI1,2815,116.51
0.9,Fair,J,VS2,2815,144.69
0.95,Fair,F,SI2,2815,159.08
0.89,Premium,H,SI2,2815,146.64
0.72,Premium,E,VS2,2815,123.05
0.96,Fair,E,SI2,2815,158.88
1.02,Premium,G,I1,2815,167.75
0.78,Very Good,I,VVS2,2816,128.0
0.61,Ideal,G,VVS2,2816,101.53
0.71,Good,D,VS1,2816,114.28
0.78,Premium,F,SI1,2816,127.56
0.87,Ideal,H,SI2,2816,145.38
0.83,Ideal,H,SI1,2816,136.26
0.71,Premium,E,SI1,2817,116.91
0.71,Ideal,I,VVS2,2817,121.42
0.71,Ideal,E,VS2,2817,113.01
0.71,Premium,E,VS2,2817,113.48
0.63,Ideal,F,VVS2,2817,102.24
0.71,Premium,E,SI1,2817,118.21
0.71,Premium,E,SI1,2817,116.02
0.71,Ideal,E,SI1,2817,116.18
0.71,Premium,E,SI1,2817,116.71
0.9,Ideal,J,VS2,2817,148.18
0.71,Good,E,SI1,2817,108.58
0.7,Premium,E,VS2,2818,112.17
0.7,Premium,E,VS2,2818,112.94
0.7,Premium,E,VS2,2818,111.81
1.0,Premium,H,I1,2818,161.47
0.86,Premium,F,SI2,2818,147.56
0.8,Ideal,H,SI1,2818,134.03
0.7,Ideal,E,VS1,2818,112.4
0.7,Premium,E,VS1,2818,120.59
0.7,Premium,F,VS2,2818,112.32
0.7,Premium,E,VS1,2818,113.72
1.0,Fair,H,SI2,2818,158.31
0.72,Very Good,G,VS1,2819,115.65
0.72,Ideal,H,VS1,2819,118.36
0.7,Good,F,VS1,2819,115.06
0.86,Good,F,SI2,2819,136.05
0.71,Ideal,G,VS1,2820,114.97
0.75,Ideal,E,SI1,2821,120.35
0.73,Premium,E,VS2,2821,117.04
0.53,Ideal,E,VVS1,2821,87.24
0.73,Premium,E,SI1,2821,119.21
0.73,Good,E,SI1,2821,118.35
0.73,Premium,E,SI1,2821,121.56
0.73,Premium,E,SI1,2821,116.67
0.73,Premium,D,SI1,2821,122.36
0.73,Very Good,E,SI1,2821,118.85
0.7,Premium,E,VS1,2822,114.06
0.72,Premium,E,VS2,2822,118.89
0.72,Premium,E,VS2,2822,117.6
0.72,Premium,E,VS2,2822,117.74
0.7,Premium,E,VS2,2822,112.35
0.6,Ideal,F,VVS2,2822,96.85
0.74,Ideal,I,VVS1,2822,123.01
0.73,Ideal,F,SI1,2822,118.98
0.71,Premium,D,SI1,2822,115.58
0.71,Premium,D,SI1,2822,115.98
0.7,Premium,D,SI1,2822,116.46
0.7,Ideal,D,SI1,2822,114.46
0.9,Good,J,VS2,2822,140.59
0.71,Ideal,D,SI1,2822,120.26
0.7,Premium,E,VS2,2822,114.24
0.7,Premium,E,VS2,2822,115.05
0.7,Ideal,D,SI1,2822,116.19
0.7,Good,E,SI1,2822,112.79
0.7,Ideal,D,SI1,2822,110.27
0.7,Ideal,D,SI1,2822,113.23
0.7,Premium,E,VS2,2822,112.41
0.7,Premium,F,VS2,2822,115.78
0.7,Ideal,D,SI1,2822,115.57
0.79,Very Good,D,SI2,2823,127.58
0.9,Good,I,SI1,2823,144.5
0.71,Premium,E,VS2,2823,114.41
0.61,Ideal,E,VVS2,2823,104.72
0.9,Fair,H,SI2,2823,143.27
0.71,Ideal,E,SI1,2823,114.73
0.71,Premium,D,VS2,2824,114.31
0.77,Ideal,I,VVS2,2824,124.23
0.74,Good,E,VS1,2824,119.27
0.82,Ideal,F,SI2,2824,134.41
0.82,Premium,E,SI2,2824,133.89
0.71,Premium,G,VS1,2825,114.81
0.83,Premium,H,SI1,2825,133.89
0.73,Very Good,G,VS1,2825,119.39
0.83,Premium,H,SI1,2825,133.96
1.17,Premium,J,I1,2825,194.63
0.91,Fair,H,SI2,2825,147.16
0.73,Premium,E,VS1,2826,116.92
0.7,Good,E,VS1,2826,118.05
0.9,Premium,I,SI2,2826,140.56
0.7,Premium,E,VS1,2826,110.94
0.7,Very Good,D,VS2,2826,110.62
0.7,Premium,E,VS1,2826,113.47
0.9,Very Good,I,SI2,2826,145.31
0.78,Premium,F,SI1,2826,128.37
0.96,Ideal,F,I1,2826,158.43
0.7,Very Good,D,SI1,2827,114.41
0.72,Good,D,VS2,2827,117.85
0.79,Premium,H,VVS2,2827,130.46
0.7,Ideal,H,VVS1,2827,114.97
0.7,Ideal,H,VVS1,2827,114.21
0.7,Ideal,D,SI2,2828,115.59
1.01,Premium,H,SI2,2828,157.65
0.72,Premium,F,VS1,2829,116.68
0.8,Good,E,SI2,2829,130.09
0.59,Ideal,E,VVS1,2829,96.03
0.72,Ideal,F,VS1,2829,117.58
0.75,Premium,E,SI2,2829,123.88
0.8,Premium,E,SI2,2829,131.99
0.71,Very Good,E,VS2,2830,114.65
0.77,Very Good,H,SI1,2830,124.52
0.97,Ideal,F,I1,2830,160.74
0.53,Ideal,F,VVS1,2830,88.26
0.53,Ideal,F,VVS1,2830,85.7
0.8,Ideal,I,VS2,2830,131.65
0.9,Premium,G,SI1,2830,142.37
0.76,Very Good,E,SI2,2831,127.15
0.72,Ideal,E,SI1,2831,117.21
0.75,Ideal,E,SI1,2831,122.65
0.72,Premium,E,SI1,2831,117.83
0.79,Ideal,G,SI1,2831,128.27
0.72,Very Good,F,VS2,2832,117.54
0.91,Very Good,I,SI2,2832,147.09
0.71,Premium,G,VVS2,2832,115.01
0.81,Premium,G,SI1,2832,125.51
0.82,Ideal,H,SI1,2832,130.9
0.71,Premium,F,VS1,2832,114.61
0.9,Good,J,SI1,2832,141.08
0.8,Very Good,I,VS2,2833,127.61
0.56,Very Good,E,IF,2833,91.35
0.7,Very Good,D,VS2,2833,115.46
0.7,Ideal,D,VS2,2833,116.05
0.61,Ideal,F,VVS2,2833,100.65
0.85,Ideal,H,SI2,2833,138.13
0.7,Ideal,F,SI1,2833,114.99
0.8,Ideal,G,VS2,2834,127.96
0.8,Ideal,H,VS2,2834,128.36
0.51,Very Good,D,VVS1,2834,83.02
0.53,Ideal,F,VVS1,2834,87.03
0.78,Ideal,I,VS2,2834,129.27
0.9,Very Good,J,SI1,2834,147.75
0.9,Fair,G,SI2,2834,143.49
0.77,Ideal,E,SI2,2834,129.81
0.73,Ideal,F,VS1,2835,122.51
0.63,Ideal,F,VVS2,2835,102.47
0.7,Ideal,E,VS2,2835,115.37
0.72,Ideal,E,VS2,2835,117.46
0.72,Ideal,E,SI1,2835,118.34
0.75,Premium,F,VS2,2835,128.08
0.82,Very Good,H,SI1,2836,134.33
0.71,Good,E,VS2,2836,111.69
0.7,Premium,E,VS1,2837,114.33
0.7,Ideal,E,VS1,2837,115.29
0.71,Ideal,F,SI1,2838,119.03
0.76,Very Good,H,SI1,2838,126.94
0.82,Fair,F,SI1,2838,127.26
0.72,Premium,F,VS1,2838,120.79
0.7,Premium,F,VS2,2838,114.2
0.7,Premium,F,VS2,2838,111.8
0.7,Premium,G,VS1,2838,115.05
0.7,Premium,F,VS2,2838,116.46
0.7,Very Good,E,SI1,2838,106.26
0.7,Premium,F,VS2,2838,111.82
0.7,Premium,F,VS2,2838,116.05
0.7,Premium,G,VS1,2838,110.89
0.74,Very Good,E,SI1,2839,121.29
0.71,Ideal,F,VS1,2839,115.37
0.7,Ideal,F,VS1,2839,116.1
0.71,Ideal,F,VS1,2839,118.02
0.71,Premium,F,VS1,2839,116.72
0.71,Premium,F,VS1,2839,115.78
0.71,Premium,F,VS1,2839,114.13
0.7,Ideal,F,VS1,2839,116.8
0.73,Ideal,G,VS2,2839,121.18
0.7,Ideal,E,VS2,2839,115.22
0.7,Ideal,G,VS1,2839,115.04
0.71,Premium,G,VVS2,2839,117.74
0.71,Premium,F,VS1,2839,118.21
0.79,Premium,G,VS2,2839,131.4
0.71,Premium,F,VS1,2839,113.72
0.77,Very Good,H,VS1,2840,124.33
0.75,Very Good,F,SI2,2840,121.9
0.7,Ideal,F,SI1,2840,117.39
0.71,Premium,F,VS2,2840,118.75
0.92,Ideal,D,SI2,2840,150.05
0.83,Premium,F,SI2,2840,136.61
0.7,Premium,H,VVS1,2840,117.05
0.73,Premium,F,VS2,2841,122.95
0.71,Very Good,D,VS1,2841,114.28
0.73,Very Good,D,SI1,2841,117.32
0.82,Ideal,F,SI2,2841,137.33
0.82,Ideal,F,SI2,2841,133.83
0.82,Very Good,F,SI2,2841,137.53
0.52,Ideal,F,VVS1,2841,85.99
1.0,Premium,F,I1,2841,167.3
0.95,Fair,G,SI1,2841,150.81
0.73,Ideal,D,SI1,2841,118.6
0.73,Premium,F,VS2,2841,118.54
0.73,Premium,G,VS1,2841,119.55
0.8,Ideal,I,VS1,2842,131.25
0.7,Premium,F,VS2,2842,112.13
0.7,Very Good,E,VS2,2843,113.27
0.7,Very Good,E,VS2,2843,113.73
0.71,Very Good,E,VS2,2843,115.32
0.81,Very Good,F,SI2,2843,130.85
0.71,Very Good,D,SI1,2843,117.45
0.73,Ideal,G,VVS2,2843,121.13
0.73,Very Good,F,VS1,2843,118.11
0.72,Ideal,E,VS2,2843,116.35
0.81,Ideal,F,SI2,2843,129.41
0.71,Ideal,G,VVS2,2843,118.21
0.73,Very Good,E,SI1,2844,121.02
0.7,Very Good,E,VS1,2844,112.64
